uniprot_id lasso_type                  272 273 290 611 809 bridge_aligned bridge lasso_range plddts(c1 c2 mean_local min_local mean_global min_global) Pfam SUPFAM
W6NBL1     LSLS2++,3-++                 +   -   +   +   +  272-611 155-453  62-609 86.2 83.2 83.1 28.8 79.5 25.1 PF03137 SSF103473
A0A0N4TPY8 LSLS2++,3-++                 +   -   +   +   +  272-273 166-473  72-621 85.6 82.3 81.1 33.6 76.2 20.9 PF03137 SSF103473
A0A0N5B0X1 LSLS2++,2++                  +   -   +   +   +  272-273 158-465  64-619 85.1 82.8 83.6 30.5 79.2 21.9 PF03137 SSF103473
A0A1I7S025 LSLS2++,3-++                 +   -   +   +   +  272-611 166-474  75-633 81.4 80.7 82.8 34.3 77.7 21.1 PF03137 SSF100895,SSF103473
A0A368GZF5 LSLS2++,3-++                 +   -   +   +   +  272-611 155-456  61-611 83.6 81.3 83.2 34.3 78.7 24.3 PF03137 SSF100895,SSF103473
A0A6A5H7A2 LSLS2++,3-++                 +   -   +   +   +  272-611 158-457  60-616 78.8 79.1 82.6 36.8 78.0 23.5 PF03137 SSF100895,SSF103473
A0A6V7UW19 LSLS2++,3-++                 +   -   +   +   +  272-611 191-503 100-678 81.1 81.6 81.3 25.3 76.5 21.1 PF03137 SSF100895,SSF103473
E3LZ73     LSLS2++,3-++                 +   -   +   +   +  272-611 158-457  60-615 83.9 81.2 82.6 36.7 78.1 23.1 PF03137 SSF100895,SSF103473
W2TD20     -                            +   -   +   +   +  272-611 165-466  71-620 85.3 84.8 83.7 31.8 78.4 24.0 PF03137 SSF100895,SSF103473
A0A0N4XXI6 -                            +   -   +   +   +  272-611 154-456  61-611 81.8 80.6 82.1 34.0 76.9 26.8 PF03137 SSF103473
A0A0N5CJS8 -                            +   -   +   +   +  272-273 171-479  78-634 83.9 84.4 83.9 36.9 78.4 21.7 PF03137 SSF103473
A0A158Q6I8 -                            +   -   -   +   +  272-273 162-582  65-590 57.4 74.2 86.1 36.0 81.0 26.4 PF03137 SSF103473
A0A1I8C1G8 -                            +   -   +   +   +  272-611 210-522 119-701 81.0 80.5 81.4 30.5 72.6 20.0 PF03137 SSF100895,SSF103473
A0A1I8CNJ6 -                            +   -   +   +   +  272-611 170-489  78-638 79.4 79.6 82.5 32.3 77.3 22.7 PF03137 SSF103473
A0A2A6BQB7 -                            +   -   +   +   +  272-611 136-447  42-599 74.3 79.5 83.1 38.0 79.6 25.7 PF03137 SSF100895,SSF103473
A0A2G5USH5 -                            +   -   +   +   +  272-611 158-457  63-616 79.5 79.3 81.9 38.2 77.7 23.8 PF03137 SSF100895,SSF103473
A0A3P6SV13 -                            -   -   +   +   +  290-809 185-628  70-637 59.6 72.6 82.1 29.3 77.2 21.3 PF03137 SSF103473
G0MKS2     -                            +   -   +   +   +  290-809 166-606  60-615 56.9 70.2 82.2 34.8 77.9 25.1 PF03137 SSF100895,SSF103473
A0A0B1TCF5 -                            +   -   +   +   +  272-611 157-464  63-618 82.6 82.2 82.2 31.7 78.0 24.7 PF03137 SSF100895,SSF103473
A0A0K0JQL8 -                            +   -   +   +   +  272-273 166-473  69-628 86.4 84.1 85.0 41.3 79.7 24.4 PF03137 SSF103473
A0A158PI08 -                            +   -   +   +   +  272-611 149-448  52-602 74.2 77.8 82.0 33.5 77.7 23.5 PF03137 SSF103473
A0A182DWP8 -                            +   -   +   +   +  272-273 124-431  29-609 82.2 78.3 76.9 28.4 73.2 23.2 PF03137 SSF100895,SSF103473
A0A1I7TMK6 -                            +   -   +   +   +  272-611 159-458  61-616 81.6 79.2 82.4 36.2 78.3 24.5 PF03137 SSF100895,SSF103473
A0A1S0U0W1 -                            +   -   +   +   +  272-273 166-473  73-628 85.1 83.2 83.4 33.5 78.2 23.3 PF03137 SSF103473
A0A261BPM9 -                            +   -   +   +   +  272-611 158-457  63-616 78.0 76.8 81.7 37.4 77.4 23.9 PF03137 SSF100895,SSF103473
A0A4E9FDN8 -                            +   -   +   +   +  272-273 166-473  72-628 85.9 83.1 84.0 34.6 79.1 21.6 PF03137 SSF103473
A0A7I4YCA4 -                            +   -   +   +   +  272-611 155-453  62-609 87.3 84.1 83.4 30.1 79.5 25.2 PF03137 SSF103473
A0A498S9M1 -                            +   -   +   +   +  272-273 166-473  72-628 82.9 79.4 83.3 34.7 78.4 22.8 PF03137 SSF103473
A0A0R3QQN2 -                            +   -   +   +   -     -       -       -    -    -    -    -    76.8 20.5 PF03137 SSF100895,SSF103473
A0A0D6LXR2 -                            +   -   +   +   +     -       -       -    -    -    -    -    67.1 21.6 PF03137 SSF100895,SSF103473
A0A914KTL4 -                            +   -   +   +   +     -       -       -    -    -    -    -    -    -    PF03137 SSF100895,SSF103473
A0A8S1ELT5 -                            +   -   +   +   +     -       -       -    -    -    -    -    -    -    PF03137 SSF103473
A0A914J812 -                            +   -   +   +   +     -       -       -    -    -    -    -    -    -    PF03137 SSF100895,SSF103473
A0A8J2M0F1 -                            +   -   +   +   +     -       -       -    -    -    -    -    -    -    PF03137 SSF103473
A0A914Y0C8 -                            +   -   +   +   +     -       -       -    -    -    -    -    -    -    PF03137 SSF100895,SSF103473
A0A915PZT2 -                            +   -   +   +   +     -       -       -    -    -    -    -    -    -    PF03137 SSF103473
A0A8R1Y1R6 -                            +   -   +   +   +     -       -       -    -    -    -    -    -    -    PF03137 SSF100895,SSF103473
A0A914EZT8 -                            +   -   +   +   +     -       -       -    -    -    -    -    -    -    PF03137 SSF100895,SSF103473
A0A915D4H3 -                            +   -   +   +   +     -       -       -    -    -    -    -    -    -    PF03137 SSF103473
A0A915GC64 -                            +   -   +   +   +     -       -       -    -    -    -    -    -    -    PF03137 SSF103473
A0A8S9ZV75 -                            +   -   +   -   -     -       -       -    -    -    -    -    -    -    PF03137 SSF103473
